OPEID6,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT4_048_PUB,NPT4_3075_PUB,COSTT4_A,income_midpoints
10388.0,Reading Area Community College,7175.0,7989.0,7011.0,12259.0,14167.0,7413.0,7541.0,14572.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
22512.0,Schuylkill Technology Center,6914.0,7013.0,14041.0,15065.0,,6934.0,11698.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3326.0,Shippensburg University of Pennsylvania,17461.0,19059.0,21510.0,24174.0,25501.0,18036.0,20273.0,27961.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3327.0,Slippery Rock University of Pennsylvania,13664.0,14445.0,18101.0,22344.0,23590.0,14022.0,16560.0,24328.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
7912.0,Thaddeus Stevens College of Technology,988.0,2287.0,5529.0,13511.0,14885.0,1462.0,4254.0,16477.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3371.0,Temple University,16106.0,16627.0,21129.0,26060.0,29182.0,16301.0,19163.0,33768.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3328.0,West Chester University of Pennsylvania,18436.0,19207.0,22290.0,26172.0,27490.0,18762.0,20903.0,28335.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
10176.0,Westmoreland County Community College,3945.0,5669.0,7202.0,9793.0,10260.0,4520.0,6371.0,11001.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3407.0,Rhode Island College,9147.0,9929.0,13098.0,16317.0,18148.0,9437.0,11526.0,18709.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3408.0,Community College of Rhode Island,5352.0,5484.0,5658.0,5875.0,,5398.0,5555.0,11568.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3414.0,University of Rhode Island,11437.0,13822.0,17327.0,22757.0,27004.0,12255.0,15847.0,31804.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
10056.0,Aiken Technical College,4566.0,3026.0,5697.0,5370.0,7334.0,4065.0,4163.0,11659.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9910.0,Technical College of the Lowcountry,4888.0,4971.0,11796.0,,,4892.0,6677.0,14957.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3428.0,College of Charleston,12607.0,13606.0,16080.0,22067.0,24133.0,13021.0,14917.0,30468.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
7602.0,Northeastern Technical College,7117.0,6746.0,7166.0,,,6993.0,6834.0,15524.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3423.0,Citadel Military College of South Carolina,13875.0,16730.0,19793.0,22150.0,25410.0,15461.0,18198.0,30690.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3425.0,Clemson University,14155.0,16482.0,20977.0,25195.0,26995.0,15257.0,18757.0,34001.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5363.0,Denmark Technical College,15748.0,15423.0,18819.0,20013.0,,15684.0,16604.0,21506.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3990.0,Florence-Darlington Technical College,2452.0,1849.0,1880.0,3677.0,3205.0,2307.0,1862.0,10819.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9226.0,Francis Marion University,10490.0,9958.0,13739.0,15203.0,17397.0,10328.0,11448.0,22683.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3991.0,Greenville Technical College,6410.0,6819.0,7002.0,7939.0,9069.0,6555.0,6887.0,13977.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4925.0,Horry-Georgetown Technical College,3075.0,3570.0,5713.0,7554.0,8373.0,3211.0,4559.0,12328.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3435.0,Lander University,11872.0,12884.0,15917.0,17225.0,18369.0,12267.0,14407.0,25593.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3438.0,Medical University of South Carolina,,,,,,,,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3993.0,Midlands Technical College,4503.0,4699.0,6515.0,8452.0,8559.0,4562.0,5658.0,12281.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
6815.0,Orangeburg Calhoun Technical College,3184.0,4709.0,4211.0,7218.0,7716.0,3548.0,4486.0,14464.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3992.0,Piedmont Technical College,10921.0,10646.0,12679.0,14044.0,14141.0,10844.0,11583.0,20772.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3449.0,University of South Carolina Aiken,8278.0,10095.0,12960.0,15134.0,16265.0,8896.0,11412.0,20783.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3450.0,University of South Carolina Beaufort,11653.0,13538.0,16320.0,19046.0,19751.0,12369.0,14987.0,23345.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3448.0,University of South Carolina-Columbia,12262.0,14677.0,19783.0,23389.0,25312.0,13183.0,17547.0,28844.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
